"Scenario","Date","PnL","Trades","SpreadCost","SlipCost","PeakPnL","TroughPnL","Runtime"
"CURRENT","20260211","180.91","6","12.04","12.68","192.51","30.87","9"
"CURRENT","20260212","176.80","21","25.44","46.02","222.56","55.48","9"
"CURRENT","20260220","189.91","6","12.03","21.21","197.99","22.66","12"
"CURRENT","TOTAL","547.62","33","","","","",""
"Vel=8E-06","20260211","180.91","6","12.04","12.53","192.51","30.87","11"
"Vel=8E-06","20260212","176.80","21","25.44","46.02","222.56","55.48","12"
"Vel=8E-06","20260220","189.91","6","12.03","21.21","197.99","22.66","12"
"Vel=8E-06","TOTAL","547.62","33","","","","",""
"Vel=1E-05","20260211","180.91","6","12.04","12.52","192.51","30.87","10"
"Vel=1E-05","20260212","176.80","21","25.44","46.02","222.56","55.48","12"
"Vel=1E-05","20260220","189.91","6","12.03","21.21","197.99","22.66","11"
"Vel=1E-05","TOTAL","547.62","33","","","","",""
"Vel=1.2E-05","20260211","180.91","6","12.04","12.62","192.51","30.87","11"
"Vel=1.2E-05","20260212","176.80","21","25.44","46.02","222.56","55.48","13"
"Vel=1.2E-05","20260220","189.91","6","12.03","20.94","197.99","22.66","9"
"Vel=1.2E-05","TOTAL","547.62","33","","","","",""
"Vel=1.5E-05","20260211","180.91","6","12.04","12.57","192.51","30.87","11"
"Vel=1.5E-05","20260212","176.80","21","25.44","46.02","222.56","55.48","10"
"Vel=1.5E-05","20260220","189.91","6","12.03","21.21","197.99","22.66","12"
"Vel=1.5E-05","TOTAL","547.62","33","","","","",""
"Vel=1.8E-05","20260211","180.91","6","12.04","12.69","192.51","30.87","12"
"Vel=1.8E-05","20260212","176.80","21","25.44","46.02","222.56","55.48","12"
"Vel=1.8E-05","20260220","189.91","6","12.03","21.21","197.99","22.66","10"
"Vel=1.8E-05","TOTAL","547.62","33","","","","",""
"Vel=2E-05","20260211","180.91","6","12.04","12.68","192.51","30.87","9"
"Vel=2E-05","20260212","176.80","21","25.44","46.02","222.56","55.48","9"
"Vel=2E-05","20260220","189.91","6","12.03","20.96","197.99","22.66","10"
"Vel=2E-05","TOTAL","547.62","33","","","","",""
"Vel=2.5E-05","20260211","180.91","6","12.04","12.47","192.51","30.87","12"
"Vel=2.5E-05","20260212","176.80","21","25.44","46.02","222.56","55.48","13"
"Vel=2.5E-05","20260220","189.91","6","12.03","20.94","197.99","22.66","10"
"Vel=2.5E-05","TOTAL","547.62","33","","","","",""
"Chop=0.0006","20260211","180.91","6","12.04","12.51","192.51","30.87","9"
"Chop=0.0006","20260212","181.03","21","25.44","46.05","226.79","55.31","13"
"Chop=0.0006","20260220","189.91","6","12.03","20.94","197.99","22.66","11"
"Chop=0.0006","TOTAL","551.85","33","","","","",""
"Chop=0.0008","20260211","180.91","6","12.04","12.57","192.51","30.87","10"
"Chop=0.0008","20260212","181.03","21","25.44","46.05","226.79","55.31","13"
"Chop=0.0008","20260220","189.91","6","12.03","20.94","197.99","22.66","10"
"Chop=0.0008","TOTAL","551.85","33","","","","",""
"Chop=0.001","20260211","180.91","6","12.04","12.54","192.51","30.87","13"
"Chop=0.001","20260212","176.80","21","25.44","46.02","222.56","55.48","13"
"Chop=0.001","20260220","189.91","6","12.03","21.21","197.99","22.66","11"
"Chop=0.001","TOTAL","547.62","33","","","","",""
"Chop=0.0011","20260211","180.91","6","12.04","12.68","192.51","30.87","12"
"Chop=0.0011","20260212","176.80","21","25.44","46.02","222.56","55.48","10"
"Chop=0.0011","20260220","191.93","6","12.03","20.73","200.01","22.66","11"
"Chop=0.0011","TOTAL","549.64","33","","","","",""
"Chop=0.0013","20260211","180.91","6","12.04","12.54","192.51","30.87","13"
"Chop=0.0013","20260212","181.03","21","25.44","45.51","226.79","55.31","12"
"Chop=0.0013","20260220","189.91","6","12.03","20.94","197.99","22.66","10"
"Chop=0.0013","TOTAL","551.85","33","","","","",""
"Chop=0.0015","20260211","180.91","6","12.04","12.68","192.51","30.87","8"
"Chop=0.0015","20260212","166.78","17","21.45","36.94","212.54","75.90","7"
"Chop=0.0015","20260220","189.91","6","12.03","20.94","197.99","22.66","9"
"Chop=0.0015","TOTAL","537.60","29","","","","",""
"Chop=0.0018","20260211","180.91","6","12.04","12.56","192.51","30.87","11"
"Chop=0.0018","20260212","166.11","19","23.45","39.59","211.87","60.99","11"
"Chop=0.0018","20260220","189.91","6","12.03","21.21","197.99","22.66","12"
"Chop=0.0018","TOTAL","536.93","31","","","","",""
"SMA=90s","20260211","180.91","6","12.04","12.56","192.51","30.87","13"
"SMA=90s","20260212","-430.34","37","40.71","84.24","84.10","461.86","8"
"SMA=90s","20260220","189.91","6","12.03","20.94","197.99","22.66","10"
"SMA=90s","TOTAL","-59.52","49","","","","",""
"SMA=120s","20260211","180.91","6","12.04","12.54","192.51","30.87","15"
"SMA=120s","20260212","-398.58","39","42.75","85.70","84.10","430.26","12"
"SMA=120s","20260220","189.91","6","12.03","21.21","197.99","22.66","8"
"SMA=120s","TOTAL","-27.76","51","","","","",""
"SMA=150s","20260211","180.91","6","12.04","12.68","192.51","30.87","8"
"SMA=150s","20260212","-289.71","37","40.91","79.68","120.97","321.55","7"
"SMA=150s","20260220","189.91","6","12.03","20.94","197.99","22.66","11"
"SMA=150s","TOTAL","81.11","49","","","","",""
"SMA=180s","20260211","180.91","6","12.04","12.56","192.51","30.87","10"
"SMA=180s","20260212","176.80","21","25.44","46.02","222.56","55.48","9"
"SMA=180s","20260220","189.91","6","12.03","21.21","197.99","22.66","13"
"SMA=180s","TOTAL","547.62","33","","","","",""
"SMA=210s","20260211","180.91","6","12.04","12.68","192.51","30.87","11"
"SMA=210s","20260212","186.57","19","23.44","42.55","232.33","55.31","7"
"SMA=210s","20260220","189.91","6","12.03","20.96","197.99","22.66","7"
"SMA=210s","TOTAL","557.39","31","","","","",""
"SMA=240s","20260211","180.91","6","12.04","12.57","192.51","30.87","9"
"SMA=240s","20260212","185.56","19","23.45","42.52","231.32","55.31","13"
"SMA=240s","20260220","189.91","6","12.03","20.94","197.99","22.66","14"
"SMA=240s","TOTAL","556.38","31","","","","",""
"SMA=300s","20260211","180.91","6","12.04","12.54","192.51","30.87","12"
"SMA=300s","20260212","-292.05","35","38.98","78.96","177.77","323.89","13"
"SMA=300s","20260220","189.91","6","12.03","21.21","197.99","22.66","12"
"SMA=300s","TOTAL","78.77","47","","","","",""
"TrendWin=1800s","20260211","180.91","6","12.04","12.68","192.51","30.87","13"
"TrendWin=1800s","20260212","176.80","21","25.44","46.02","222.56","55.48","13"
"TrendWin=1800s","20260220","189.91","6","12.03","21.21","197.99","22.66","12"
"TrendWin=1800s","TOTAL","547.62","33","","","","",""
"TrendWin=2400s","20260211","180.91","6","12.04","12.69","192.51","30.87","11"
"TrendWin=2400s","20260212","176.80","21","25.44","46.02","222.56","55.48","15"
"TrendWin=2400s","20260220","189.91","6","12.03","21.16","197.99","22.66","12"
"TrendWin=2400s","TOTAL","547.62","33","","","","",""
"TrendWin=3600s","20260211","180.91","6","12.04","12.56","192.51","30.87","12"
"TrendWin=3600s","20260212","176.80","21","25.44","46.02","222.56","55.48","10"
"TrendWin=3600s","20260220","189.91","6","12.03","20.94","197.99","22.66","10"
"TrendWin=3600s","TOTAL","547.62","33","","","","",""
"TrendWin=4200s","20260211","180.91","6","12.04","12.54","192.51","30.87","11"
"TrendWin=4200s","20260212","176.80","21","25.44","46.02","222.56","55.48","9"
"TrendWin=4200s","20260220","189.91","6","12.03","21.21","197.99","22.66","7"
"TrendWin=4200s","TOTAL","547.62","33","","","","",""
"TrendWin=4800s","20260211","180.91","6","12.04","12.69","192.51","30.87","9"
"TrendWin=4800s","20260212","176.80","21","25.44","46.02","222.56","55.48","10"
"TrendWin=4800s","20260220","189.91","6","12.03","20.96","197.99","22.66","12"
"TrendWin=4800s","TOTAL","547.62","33","","","","",""
"TrendWin=5400s","20260211","180.91","6","12.04","12.69","192.51","30.87","9"
"TrendWin=5400s","20260212","176.80","21","25.44","46.02","222.56","55.48","10"
"TrendWin=5400s","20260220","189.91","6","12.03","21.21","197.99","22.66","12"
"TrendWin=5400s","TOTAL","547.62","33","","","","",""
"TrendWin=6000s","20260211","180.91","6","12.04","12.51","192.51","30.87","9"
"TrendWin=6000s","20260212","176.80","21","25.44","46.02","222.56","55.48","12"
"TrendWin=6000s","20260220","189.91","6","12.03","21.21","197.99","22.66","10"
"TrendWin=6000s","TOTAL","547.62","33","","","","",""
"TrendWin=7200s","20260211","180.91","6","12.04","12.53","192.51","30.87","12"
"TrendWin=7200s","20260212","176.80","21","25.44","46.02","222.56","55.48","11"
"TrendWin=7200s","20260220","189.91","6","12.03","20.94","197.99","22.66","8"
"TrendWin=7200s","TOTAL","547.62","33","","","","",""
"MinChop=0.01","20260211","180.91","6","12.04","12.57","192.51","30.87","11"
"MinChop=0.01","20260212","176.80","21","25.44","46.02","222.56","55.48","10"
