"Scenario","Date","PnL","Trades","SpreadCost","SlipCost","PeakPnL","TroughPnL","Runtime"
"CURRENT","20260211","180.91","6","12.04","12.62","192.51","30.87","10"
"CURRENT","20260212","186.57","19","23.44","42.55","232.33","55.31","10"
"CURRENT","20260220","189.91","6","12.03","21.23","197.99","22.66","12"
"CURRENT","TOTAL","557.39","31","","","","",""
"Trail=0.1%","20260211","180.91","6","12.04","12.52","192.51","30.87","12"
"Trail=0.1%","20260212","-433.62","53","56.07","113.35","84.10","464.82","14"
"Trail=0.1%","20260220","189.91","6","12.03","21.21","197.99","22.66","12"
"Trail=0.1%","TOTAL","-62.80","65","","","","",""
"Trail=0.15%","20260211","180.91","6","12.04","12.68","192.51","30.87","12"
"Trail=0.15%","20260212","-295.30","43","46.64","93.45","129.61","326.98","10"
"Trail=0.15%","20260220","189.91","6","12.03","21.21","197.99","22.66","10"
"Trail=0.15%","TOTAL","75.52","55","","","","",""
"Trail=0.2%","20260211","180.91","6","12.04","12.54","192.51","30.87","12"
"Trail=0.2%","20260212","186.57","19","23.44","42.55","232.33","55.31","10"
"Trail=0.2%","20260220","189.91","6","12.03","21.21","197.99","22.66","14"
"Trail=0.2%","TOTAL","557.39","31","","","","",""
"Trail=0.25%","20260211","180.91","6","12.04","12.68","192.51","30.87","11"
"Trail=0.25%","20260212","170.44","19","23.42","42.68","216.20","71.04","18"
"Trail=0.25%","20260220","189.91","6","12.03","21.21","197.99","22.66","17"
"Trail=0.25%","TOTAL","541.26","31","","","","",""
"Trail=0.3%","20260211","180.91","6","12.04","12.68","192.51","30.87","7"
"Trail=0.3%","20260212","-47.18","29","33.22","63.67","168.00","106.64","12"
"Trail=0.3%","20260220","189.91","6","12.03","20.94","197.99","22.66","11"
"Trail=0.3%","TOTAL","323.64","41","","","","",""
"Trail=0.4%","20260211","180.91","6","12.04","12.57","192.51","30.87","11"
"Trail=0.4%","20260212","180.06","13","17.51","26.46","226.04","63.99","10"
"Trail=0.4%","20260220","189.91","6","12.03","21.21","197.99","22.66","11"
"Trail=0.4%","TOTAL","550.88","25","","","","",""
"Trail=0.5%","20260211","180.91","6","12.04","12.68","192.51","30.87","13"
"Trail=0.5%","20260212","180.06","13","17.51","26.46","226.04","63.99","13"
"Trail=0.5%","20260220","189.91","6","12.03","21.21","197.99","22.66","10"
"Trail=0.5%","TOTAL","550.88","25","","","","",""
"TRescueStop=0.3%","20260211","180.91","6","12.04","12.68","192.51","30.87","14"
"TRescueStop=0.3%","20260212","186.57","19","23.44","42.55","232.33","55.31","8"
"TRescueStop=0.3%","20260220","189.91","6","12.03","20.94","197.99","22.66","12"
"TRescueStop=0.3%","TOTAL","557.39","31","","","","",""
"TRescueStop=0.4%","20260211","180.91","6","12.04","12.47","192.51","30.87","14"
"TRescueStop=0.4%","20260212","186.57","19","23.44","42.55","232.33","55.31","14"
"TRescueStop=0.4%","20260220","189.91","6","12.03","20.94","197.99","22.66","8"
"TRescueStop=0.4%","TOTAL","557.39","31","","","","",""
"TRescueStop=0.5%","20260211","180.91","6","12.04","12.57","192.51","30.87","13"
"TRescueStop=0.5%","20260212","186.57","19","23.44","42.55","232.33","55.31","10"
"TRescueStop=0.5%","20260220","189.91","6","12.03","21.21","197.99","22.66","13"
"TRescueStop=0.5%","TOTAL","557.39","31","","","","",""
"TRescueStop=0.6%","20260211","180.91","6","12.04","12.68","192.51","30.87","8"
"TRescueStop=0.6%","20260212","186.57","19","23.44","42.55","232.33","55.31","10"
"TRescueStop=0.6%","20260220","189.91","6","12.03","21.21","197.99","22.66","10"
"TRescueStop=0.6%","TOTAL","557.39","31","","","","",""
