"Scenario","Date","PnL","Trades","SpreadCost","SlipCost","PeakPnL","TroughPnL","Runtime"
"CURRENT","20260211","180.91","6","12.04","12.68","192.51","30.87","9"
"CURRENT","20260212","186.57","19","23.44","42.55","232.33","55.31","13"
"CURRENT","20260220","189.91","6","12.03","20.94","197.99","22.66","13"
"CURRENT","TOTAL","557.39","31","","","","",""
"ScalpWait=OFF","20260211","180.91","6","12.04","12.47","192.51","30.87","9"
"ScalpWait=OFF","20260212","186.57","19","23.44","42.55","232.33","55.31","9"
"ScalpWait=OFF","20260220","178.84","6","12.07","23.09","188.99","22.66","13"
"ScalpWait=OFF","TOTAL","546.32","31","","","","",""
"ScalpWait=10s","20260211","180.91","6","12.04","12.69","192.51","30.87","12"
"ScalpWait=10s","20260212","186.57","19","23.44","42.55","232.33","55.31","10"
"ScalpWait=10s","20260220","189.91","6","12.03","21.23","197.99","22.66","10"
"ScalpWait=10s","TOTAL","557.39","31","","","","",""
"ScalpWait=15s","20260211","180.91","6","12.04","12.69","192.51","30.87","9"
"ScalpWait=15s","20260212","186.57","19","23.44","42.55","232.33","55.31","15"
"ScalpWait=15s","20260220","189.91","6","12.03","21.21","197.99","22.66","11"
"ScalpWait=15s","TOTAL","557.39","31","","","","",""
"ScalpWait=20s","20260211","180.91","6","12.04","12.47","192.51","30.87","10"
"ScalpWait=20s","20260212","186.57","19","23.44","42.55","232.33","55.31","12"
"ScalpWait=20s","20260220","189.91","6","12.03","21.21","197.99","22.66","13"
"ScalpWait=20s","TOTAL","557.39","31","","","","",""
"ScalpWait=30s","20260211","180.91","6","12.04","12.54","192.51","30.87","8"
"ScalpWait=30s","20260212","186.57","19","23.44","42.55","232.33","55.31","12"
"ScalpWait=30s","20260220","189.91","6","12.03","20.94","197.99","22.66","12"
"ScalpWait=30s","TOTAL","557.39","31","","","","",""
"ScalpWait=45s","20260211","180.91","6","12.04","12.69","192.51","30.87","14"
"ScalpWait=45s","20260212","186.57","19","23.44","42.55","232.33","55.31","13"
"ScalpWait=45s","20260220","189.91","6","12.03","21.21","197.99","22.66","11"
"ScalpWait=45s","TOTAL","557.39","31","","","","",""
"ScalpWait=60s","20260211","180.91","6","12.04","12.57","192.51","30.87","12"
"ScalpWait=60s","20260212","186.57","19","23.44","42.55","232.33","55.31","10"
"ScalpWait=60s","20260220","189.91","6","12.03","21.21","197.99","22.66","8"
"ScalpWait=60s","TOTAL","557.39","31","","","","",""
"ScalpWait=90s","20260211","180.91","6","12.04","12.53","192.51","30.87","12"
"ScalpWait=90s","20260212","186.57","19","23.44","42.55","232.33","55.31","10"
"ScalpWait=90s","20260220","189.91","6","12.03","20.94","197.99","22.66","13"
"ScalpWait=90s","TOTAL","557.39","31","","","","",""
"TrendWait=OFF","20260211","180.91","6","12.04","12.66","192.51","30.87","9"
"TrendWait=OFF","20260212","186.57","19","23.44","42.55","232.33","55.31","12"
"TrendWait=OFF","20260220","189.91","6","12.03","21.21","197.99","22.66","10"
"TrendWait=OFF","TOTAL","557.39","31","","","","",""
"TrendWait=60s","20260211","180.91","6","12.04","12.54","192.51","30.87","9"
"TrendWait=60s","20260212","-152.52","37","41.08","83.43","153.19","194.10","12"
"TrendWait=60s","20260220","189.91","6","12.03","20.94","197.99","22.66","10"
"TrendWait=60s","TOTAL","218.30","49","","","","",""
"TrendWait=90s","20260211","180.91","6","12.04","12.62","192.51","30.87","10"
"TrendWait=90s","20260212","-152.56","37","41.08","84.02","153.19","196.82","11"
"TrendWait=90s","20260220","189.91","6","12.03","20.94","197.99","22.66","14"
"TrendWait=90s","TOTAL","218.26","49","","","","",""
"TrendWait=120s","20260211","180.91","6","12.04","12.52","192.51","30.87","15"
"TrendWait=120s","20260212","-223.52","37","40.99","83.87","158.83","255.52","12"
"TrendWait=120s","20260220","189.91","6","12.03","21.21","197.99","22.66","10"
"TrendWait=120s","TOTAL","147.30","49","","","","",""
"TrendWait=180s","20260211","180.91","6","12.04","12.68","192.51","30.87","12"
"TrendWait=180s","20260212","186.57","19","23.44","42.55","232.33","55.31","12"
"TrendWait=180s","20260220","189.91","6","12.03","21.23","197.99","22.66","8"
"TrendWait=180s","TOTAL","557.39","31","","","","",""
"TrendWait=240s","20260211","180.91","6","12.04","12.52","192.51","30.87","14"
"TrendWait=240s","20260212","186.57","19","23.44","42.55","232.33","55.31","14"
"TrendWait=240s","20260220","189.91","6","12.03","21.21","197.99","22.66","10"
"TrendWait=240s","TOTAL","557.39","31","","","","",""
"TrendWait=300s","20260211","180.91","6","12.04","12.56","192.51","30.87","8"
"TrendWait=300s","20260212","186.57","19","23.44","42.55","232.33","55.31","13"
"TrendWait=300s","20260220","189.91","6","12.03","21.21","197.99","22.66","13"
"TrendWait=300s","TOTAL","557.39","31","","","","",""
"TrendWait=600s","20260211","180.91","6","12.04","12.68","192.51","30.87","10"
"TrendWait=600s","20260212","186.57","19","23.44","42.55","232.33","55.31","12"
"TrendWait=600s","20260220","189.91","6","12.03","21.21","197.99","22.66","11"
"TrendWait=600s","TOTAL","557.39","31","","","","",""
"TrendConf=3E-05","20260211","180.91","6","12.04","12.56","192.51","30.87","9"
"TrendConf=3E-05","20260212","186.57","19","23.44","42.55","232.33","55.31","10"
"TrendConf=3E-05","20260220","189.91","6","12.03","20.94","197.99","22.66","10"
"TrendConf=3E-05","TOTAL","557.39","31","","","","",""
"TrendConf=5E-05","20260211","180.91","6","12.04","12.57","192.51","30.87","9"
"TrendConf=5E-05","20260212","186.57","19","23.44","42.55","232.33","55.31","12"
"TrendConf=5E-05","20260220","189.91","6","12.03","21.21","197.99","22.66","13"
"TrendConf=5E-05","TOTAL","557.39","31","","","","",""
"TrendConf=6E-05","20260211","180.91","6","12.04","12.68","192.51","30.87","12"
"TrendConf=6E-05","20260212","186.57","19","23.44","42.55","232.33","55.31","12"
"TrendConf=6E-05","20260220","189.91","6","12.03","20.94","197.99","22.66","12"
"TrendConf=6E-05","TOTAL","557.39","31","","","","",""
"TrendConf=8E-05","20260211","180.91","6","12.04","12.52","192.51","30.87","9"
"TrendConf=8E-05","20260212","186.57","19","23.44","42.55","232.33","55.31","12"
"TrendConf=8E-05","20260220","189.91","6","12.03","21.21","197.99","22.66","11"
"TrendConf=8E-05","TOTAL","557.39","31","","","","",""
"TrendConf=0.0001","20260211","180.91","6","12.04","12.68","192.51","30.87","8"
"TrendConf=0.0001","20260212","186.57","19","23.44","42.55","232.33","55.31","10"
"TrendConf=0.0001","20260220","189.91","6","12.03","20.94","197.99","22.66","12"
"TrendConf=0.0001","TOTAL","557.39","31","","","","",""
"TrendConf=0.00012","20260211","180.91","6","12.04","12.47","192.51","30.87","13"
"TrendConf=0.00012","20260212","186.57","19","23.44","42.55","232.33","55.31","9"
"TrendConf=0.00012","20260220","189.91","6","12.03","20.94","197.99","22.66","9"
"TrendConf=0.00012","TOTAL","557.39","31","","","","",""
"TrendConf=0.00015","20260211","180.91","6","12.04","12.69","192.51","30.87","11"
"TrendConf=0.00015","20260212","186.57","19","23.44","42.56","232.33","55.31","9"
"TrendConf=0.00015","20260220","189.91","6","12.03","21.21","197.99","22.66","8"
"TrendConf=0.00015","TOTAL","557.39","31","","","","",""
"TrendConf=0.0002","20260211","180.91","6","12.04","12.56","192.51","30.87","11"
"TrendConf=0.0002","20260212","186.57","19","23.44","42.55","232.33","55.31","12"
"TrendConf=0.0002","20260220","189.91","6","12.03","21.21","197.99","22.66","10"
"TrendConf=0.0002","TOTAL","557.39","31","","","","",""
