"Scenario","Date","PnL","Trades","SpreadCost","SlipCost","PeakPnL","TroughPnL","Runtime"
"CURRENT","20260211","180.91","6","12.04","12.57","192.51","30.87","11"
"CURRENT","20260212","186.57","19","23.44","42.55","232.33","55.31","12"
"CURRENT","20260220","189.91","6","12.03","20.94","197.99","22.66","8"
"CURRENT","TOTAL","557.39","31","","","","",""
"Trimming=True","20260211","180.91","6","12.04","12.57","192.51","30.87","9"
"Trimming=True","20260212","186.57","19","23.44","42.55","232.33","55.31","7"
"Trimming=True","20260220","191.93","6","12.03","20.19","200.01","22.66","11"
"Trimming=True","TOTAL","559.41","31","","","","",""
"Trimming=False","20260211","180.91","6","12.04","12.56","192.51","30.87","10"
"Trimming=False","20260212","178.67","14","19.45","33.21","224.43","55.31","8"
"Trimming=False","20260220","189.91","6","12.03","20.94","197.99","22.66","8"
"Trimming=False","TOTAL","549.49","26","","","","",""
"TrimRatio=0.25","20260211","180.91","6","12.04","12.54","192.51","30.87","9"
"TrimRatio=0.25","20260212","166.77","15","19.45","33.17","212.53","55.31","12"
"TrimRatio=0.25","20260220","189.91","6","12.03","21.21","197.99","22.66","11"
"TrimRatio=0.25","TOTAL","537.59","27","","","","",""
"TrimRatio=0.33","20260211","180.91","6","12.04","12.68","192.51","30.87","10"
"TrimRatio=0.33","20260212","171.21","17","21.45","38.44","216.97","55.31","12"
"TrimRatio=0.33","20260220","189.91","6","12.03","21.21","197.99","22.66","13"
"TrimRatio=0.33","TOTAL","542.03","29","","","","",""
"TrimRatio=0.5","20260211","180.91","6","12.04","12.54","192.51","30.87","11"
"TrimRatio=0.5","20260212","162.71","17","21.45","38.41","208.47","55.31","13"
"TrimRatio=0.5","20260220","189.91","6","12.03","21.23","197.99","22.66","12"
"TrimRatio=0.5","TOTAL","533.53","29","","","","",""
"TrimRatio=0.67","20260211","180.91","6","12.04","12.52","192.51","30.87","9"
"TrimRatio=0.67","20260212","165.67","17","21.45","38.74","211.43","55.31","9"
"TrimRatio=0.67","20260220","189.91","6","12.03","20.94","197.99","22.66","10"
"TrimRatio=0.67","TOTAL","536.49","29","","","","",""
"TrimRatio=0.75","20260211","180.91","6","12.04","12.69","192.51","30.87","10"
"TrimRatio=0.75","20260212","186.57","19","23.44","42.55","232.33","55.31","9"
"TrimRatio=0.75","20260220","189.91","6","12.03","20.94","197.99","22.66","11"
"TrimRatio=0.75","TOTAL","557.39","31","","","","",""
"TrimRatio=1","20260211","180.91","6","12.04","12.54","192.51","30.87","11"
"TrimRatio=1","20260212","174.03","18","23.43","42.00","219.79","55.31","7"
"TrimRatio=1","20260220","189.91","6","12.03","20.94","197.99","22.66","12"
"TrimRatio=1","TOTAL","544.85","30","","","","",""
