"Scenario","Date","PnL","Trades","SpreadCost","SlipCost","PeakPnL","TroughPnL","Runtime"
"CURRENT","20260211","180.91","6","12.04","12.69","192.51","30.87","11"
"CURRENT","20260212","186.57","19","23.44","42.55","232.33","55.31","8"
"CURRENT","20260220","189.91","6","12.03","21.21","197.99","22.66","10"
"CURRENT","TOTAL","557.39","31","","","","",""
"DailyTarget=OFF","20260211","-217.32","29","32.75","63.18","299.21","254.72","10"
"DailyTarget=OFF","20260212","-181.40","35","39.08","79.88","201.71","213.56","14"
"DailyTarget=OFF","20260220","-520.80","45","52.05","115.77","261.70","552.25","12"
"DailyTarget=OFF","TOTAL","-919.52","109","","","","",""
"DailyTarget=0.5%","20260211","76.21","4","8.00","9.73","87.16","30.87","10"
"DailyTarget=0.5%","20260212","53.27","4","6.49","10.68","99.03","15.95","9"
"DailyTarget=0.5%","20260220","51.50","2","4.00","6.17","57.68","22.66","13"
"DailyTarget=0.5%","TOTAL","180.98","10","","","","",""
"DailyTarget=1%","20260211","92.27","4","8.01","7.61","102.49","30.87","12"
"DailyTarget=1%","20260212","82.39","15","19.43","31.93","127.93","55.31","14"
"DailyTarget=1%","20260220","100.94","2","4.01","5.44","108.15","22.66","12"
"DailyTarget=1%","TOTAL","275.60","21","","","","",""
"DailyTarget=1.25%","20260211","125.81","6","12.03","11.37","137.41","30.87","13"
"DailyTarget=1.25%","20260212","142.63","15","19.45","33.08","188.39","55.31","12"
"DailyTarget=1.25%","20260220","131.33","6","12.02","23.97","141.43","22.66","11"
"DailyTarget=1.25%","TOTAL","399.77","27","","","","",""
"DailyTarget=1.5%","20260211","150.46","6","12.03","10.62","157.71","30.87","11"
"DailyTarget=1.5%","20260212","142.63","15","19.45","33.08","188.39","55.31","13"
"DailyTarget=1.5%","20260220","139.41","6","12.03","24.33","151.53","22.66","12"
"DailyTarget=1.5%","TOTAL","432.50","27","","","","",""
"DailyTarget=1.75%","20260211","180.91","6","12.04","12.68","192.51","30.87","8"
"DailyTarget=1.75%","20260212","186.57","19","23.44","42.55","232.33","55.31","10"
"DailyTarget=1.75%","20260220","189.91","6","12.03","21.21","197.99","22.66","10"
"DailyTarget=1.75%","TOTAL","557.39","31","","","","",""
"DailyTarget=2%","20260211","193.96","6","12.04","13.74","204.11","30.87","11"
"DailyTarget=2%","20260212","-182.74","35","39.08","80.21","201.71","214.90","10"
"DailyTarget=2%","20260220","200.01","6","12.04","20.34","208.09","22.66","13"
"DailyTarget=2%","TOTAL","211.23","47","","","","",""
"DailyTarget=2.5%","20260211","236.16","9","13.04","17.30","257.76","30.87","10"
"DailyTarget=2.5%","20260212","-181.40","35","39.08","80.17","201.71","213.56","12"
