"Scenario","Date","PnL","Trades","SpreadCost","SlipCost","PeakPnL","TroughPnL","Runtime"
"CURRENT","20260211","180.91","6","12.04","12.53","192.51","30.87","10"
"CURRENT","20260212","186.57","19","23.44","42.55","232.33","55.31","13"
"CURRENT","20260220","189.91","6","12.03","21.21","197.99","22.66","12"
"CURRENT","TOTAL","557.39","31","","","","",""
"OV_End=09:45","20260211","159.15","11","18.97","23.97","179.31","30.87","8"
"OV_End=09:45","20260212","175.26","19","25.43","42.60","221.02","58.72","11"
"OV_End=09:45","20260220","-798.58","39","46.16","101.70","121.54","829.35","12"
"OV_End=09:45","TOTAL","-464.17","69","","","","",""
"OV_End=09:50","20260211","156.23","11","18.97","24.45","176.39","30.87","11"
"OV_End=09:50","20260212","198.04","19","25.47","42.96","243.80","35.94","12"
"OV_End=09:50","20260220","-807.79","39","46.13","101.65","121.54","838.56","11"
"OV_End=09:50","TOTAL","-453.52","69","","","","",""
"OV_End=10:00","20260211","169.94","7","12.02","14.39","191.69","30.87","10"
"OV_End=10:00","20260212","175.02","17","23.45","38.47","220.78","58.96","8"
"OV_End=10:00","20260220","-807.67","39","44.33","100.66","121.54","838.44","12"
"OV_End=10:00","TOTAL","-462.71","63","","","","",""
"OV_End=10:05","20260211","173.43","7","12.03","12.34","196.63","30.87","14"
"OV_End=10:05","20260212","164.71","17","21.44","38.40","210.47","52.53","13"
"OV_End=10:05","20260220","189.91","6","12.03","20.94","197.99","22.66","12"
"OV_End=10:05","TOTAL","528.05","30","","","","",""
"OV_End=10:10","20260211","163.44","9","13.78","16.44","186.48","30.87","11"
"OV_End=10:10","20260212","186.57","19","23.44","42.55","232.33","55.31","11"
"OV_End=10:10","20260220","189.91","6","12.03","21.21","197.99","22.66","12"
"OV_End=10:10","TOTAL","539.92","34","","","","",""
"OV_End=10:13","20260211","180.91","6","12.04","12.68","192.51","30.87","12"
"OV_End=10:13","20260212","186.57","19","23.44","42.55","232.33","55.31","14"
"OV_End=10:13","20260220","189.91","6","12.03","20.94","197.99","22.66","13"
"OV_End=10:13","TOTAL","557.39","31","","","","",""
"OV_End=10:15","20260211","180.91","6","12.04","12.68","192.51","30.87","10"
"OV_End=10:15","20260212","176.56","19","23.44","43.37","222.32","65.32","9"
"OV_End=10:15","20260220","189.91","6","12.03","20.94","197.99","22.66","10"
"OV_End=10:15","TOTAL","547.38","31","","","","",""
"OV_End=10:20","20260211","180.91","6","12.04","12.56","192.51","30.87","7"
"OV_End=10:20","20260212","183.71","19","23.44","42.11","229.47","58.17","10"
"OV_End=10:20","20260220","189.91","6","12.03","20.94","197.99","22.66","14"
"OV_End=10:20","TOTAL","554.53","31","","","","",""
"PH_Start=13:30","20260211","180.91","6","12.04","12.56","192.51","30.87","12"
"PH_Start=13:30","20260212","186.57","19","23.44","42.55","232.33","55.31","11"
"PH_Start=13:30","20260220","189.91","6","12.03","21.23","197.99","22.66","10"
"PH_Start=13:30","TOTAL","557.39","31","","","","",""
"PH_Start=13:45","20260211","180.91","6","12.04","12.68","192.51","30.87","10"
"PH_Start=13:45","20260212","186.57","19","23.44","42.55","232.33","55.31","13"
"PH_Start=13:45","20260220","189.91","6","12.03","21.21","197.99","22.66","11"
"PH_Start=13:45","TOTAL","557.39","31","","","","",""
"PH_Start=14:00","20260211","180.91","6","12.04","12.57","192.51","30.87","12"
"PH_Start=14:00","20260212","186.57","19","23.44","42.55","232.33","55.31","14"
"PH_Start=14:00","20260220","189.91","6","12.03","21.21","197.99","22.66","12"
"PH_Start=14:00","TOTAL","557.39","31","","","","",""
"PH_Start=14:15","20260211","180.91","6","12.04","12.53","192.51","30.87","11"
"PH_Start=14:15","20260212","170.01","21","25.93","46.44","215.77","55.31","11"
"PH_Start=14:15","20260220","189.91","6","12.03","20.94","197.99","22.66","8"
"PH_Start=14:15","TOTAL","540.83","33","","","","",""
"PH_Start=14:30","20260211","180.91","6","12.04","12.68","192.51","30.87","11"
"PH_Start=14:30","20260212","186.57","19","23.44","42.55","232.33","55.31","8"
"PH_Start=14:30","20260220","189.91","6","12.03","20.94","197.99","22.66","10"
"PH_Start=14:30","TOTAL","557.39","31","","","","",""
"PH_Start=15:00","20260211","180.91","6","12.04","12.47","192.51","30.87","11"
"PH_Start=15:00","20260212","186.57","19","23.44","42.55","232.33","55.31","12"
"PH_Start=15:00","20260220","189.91","6","12.03","21.21","197.99","22.66","10"
"PH_Start=15:00","TOTAL","557.39","31","","","","",""
"OV_Trail=0.3%","20260211","180.91","6","12.04","12.57","192.51","30.87","9"
"OV_Trail=0.3%","20260212","186.57","19","23.44","42.57","232.33","55.31","12"
"OV_Trail=0.3%","20260220","-602.48","45","51.69","114.76","173.40","633.76","11"
"OV_Trail=0.3%","TOTAL","-235.00","70","","","","",""
"OV_Trail=0.4%","20260211","180.91","6","12.04","12.66","192.51","30.87","12"
"OV_Trail=0.4%","20260212","186.57","19","23.44","42.55","232.33","55.31","13"
"OV_Trail=0.4%","20260220","189.91","6","12.03","20.94","197.99","22.66","11"
"OV_Trail=0.4%","TOTAL","557.39","31","","","","",""
"OV_Trail=0.5%","20260211","180.91","6","12.04","12.68","192.51","30.87","10"
"OV_Trail=0.5%","20260212","186.57","19","23.44","42.55","232.33","55.31","12"
"OV_Trail=0.5%","20260220","189.91","6","12.03","21.23","197.99","22.66","12"
"OV_Trail=0.5%","TOTAL","557.39","31","","","","",""
"OV_Trail=0.6%","20260211","180.91","6","12.04","12.57","192.51","30.87","10"
"OV_Trail=0.6%","20260212","186.57","19","23.44","42.55","232.33","55.31","9"
"OV_Trail=0.6%","20260220","189.91","6","12.03","21.21","197.99","22.66","13"
"OV_Trail=0.6%","TOTAL","557.39","31","","","","",""
"OV_Trail=0.8%","20260211","180.91","6","12.04","12.56","192.51","30.87","8"
"OV_Trail=0.8%","20260212","186.57","19","23.44","42.55","232.33","55.31","10"
"OV_Trail=0.8%","20260220","189.91","6","12.03","21.21","197.99","22.66","10"
"OV_Trail=0.8%","TOTAL","557.39","31","","","","",""
"OV_Trail=1%","20260211","180.91","6","12.04","12.53","192.51","30.87","10"
"OV_Trail=1%","20260212","186.57","19","23.44","42.55","232.33","55.31","11"
"OV_Trail=1%","20260220","189.91","6","12.03","20.94","197.99","22.66","12"
"OV_Trail=1%","TOTAL","557.39","31","","","","",""
"OV_Vel=1E-05","20260211","159.71","11","16.94","22.17","181.16","80.74","11"
"OV_Vel=1E-05","20260212","186.57","19","23.44","42.55","232.33","55.31","9"
"OV_Vel=1E-05","20260220","175.14","8","16.01","21.01","183.22","22.66","11"
"OV_Vel=1E-05","TOTAL","521.42","38","","","","",""
"OV_Vel=1.5E-05","20260211","180.91","6","12.04","12.69","192.51","30.87","11"
"OV_Vel=1.5E-05","20260212","186.57","19","23.44","42.55","232.33","55.31","10"
"OV_Vel=1.5E-05","20260220","189.91","6","12.03","21.21","197.99","22.66","12"
"OV_Vel=1.5E-05","TOTAL","557.39","31","","","","",""
"OV_Vel=2E-05","20260211","180.91","6","12.04","12.69","192.51","30.87","11"
"OV_Vel=2E-05","20260212","186.57","19","23.44","42.55","232.33","55.31","15"
"OV_Vel=2E-05","20260220","-702.22","41","44.50","105.59","170.71","733.33","9"
"OV_Vel=2E-05","TOTAL","-334.74","66","","","","",""
"OV_Vel=2.5E-05","20260211","180.91","6","12.04","12.57","192.51","30.87","8"
"OV_Vel=2.5E-05","20260212","186.57","19","23.44","42.55","232.33","55.31","8"
"OV_Vel=2.5E-05","20260220","182.06","4","8.03","11.59","194.66","22.66","8"
"OV_Vel=2.5E-05","TOTAL","549.54","29","","","","",""
"OV_Vel=3E-05","20260211","180.91","6","12.04","12.62","192.51","30.87","14"
"OV_Vel=3E-05","20260212","186.57","19","23.44","42.55","232.33","55.31","13"
"OV_Vel=3E-05","20260220","182.06","4","8.03","11.59","194.66","22.66","12"
"OV_Vel=3E-05","TOTAL","549.54","29","","","","",""
"OV_Vel=4E-05","20260211","180.91","6","12.04","12.57","192.51","30.87","7"
"OV_Vel=4E-05","20260212","186.57","19","23.44","42.55","232.33","55.31","14"
"OV_Vel=4E-05","20260220","182.06","4","8.03","11.59","194.66","22.66","12"
"OV_Vel=4E-05","TOTAL","549.54","29","","","","",""
"OV_Chop=0.001","20260211","170.15","9","13.00","22.72","194.63","33.51","11"
"OV_Chop=0.001","20260212","187.79","17","21.51","37.09","233.55","10.15","9"
"OV_Chop=0.001","20260220","189.91","6","12.03","21.21","197.99","22.66","11"
"OV_Chop=0.001","TOTAL","547.85","32","","","","",""
"OV_Chop=0.0012","20260211","163.33","9","13.00","20.07","179.17","34.55","12"
"OV_Chop=0.0012","20260212","198.87","15","19.50","33.81","244.85","1.45","11"
"OV_Chop=0.0012","20260220","189.91","6","12.03","20.94","197.99","22.66","12"
"OV_Chop=0.0012","TOTAL","552.11","30","","","","",""
"OV_Chop=0.0015","20260211","180.91","6","12.04","12.52","192.51","30.87","10"
"OV_Chop=0.0015","20260212","186.57","19","23.44","42.55","232.33","55.31","7"
"OV_Chop=0.0015","20260220","189.91","6","12.03","20.94","197.99","22.66","13"
"OV_Chop=0.0015","TOTAL","557.39","31","","","","",""
"OV_Chop=0.002","20260211","-398.65","29","31.47","65.56","114.66","435.65","13"
"OV_Chop=0.002","20260212","171.44","11","12.53","19.48","217.42","5.80","8"
"OV_Chop=0.002","20260220","-672.40","47","55.59","121.79","163.70","703.51","10"
"OV_Chop=0.002","TOTAL","-899.61","87","","","","",""
"OV_Chop=0.0025","20260211","-404.38","29","31.47","64.88","108.93","441.38","8"
"OV_Chop=0.0025","20260212","171.44","11","12.53","19.48","217.42","5.80","8"
"OV_Chop=0.0025","20260220","-633.83","43","48.66","112.38","161.67","664.94","10"
"OV_Chop=0.0025","TOTAL","-866.77","83","","","","",""
"PH_Vel=1.5E-05","20260211","180.91","6","12.04","12.51","192.51","30.87","13"
"PH_Vel=1.5E-05","20260212","186.57","19","23.44","42.55","232.33","55.31","10"
"PH_Vel=1.5E-05","20260220","189.91","6","12.03","21.21","197.99","22.66","11"
"PH_Vel=1.5E-05","TOTAL","557.39","31","","","","",""
"PH_Vel=2E-05","20260211","180.91","6","12.04","12.66","192.51","30.87","10"
"PH_Vel=2E-05","20260212","186.57","19","23.44","42.55","232.33","55.31","11"
"PH_Vel=2E-05","20260220","189.91","6","12.03","21.21","197.99","22.66","12"
"PH_Vel=2E-05","TOTAL","557.39","31","","","","",""
"PH_Vel=2.5E-05","20260211","180.91","6","12.04","12.54","192.51","30.87","10"
"PH_Vel=2.5E-05","20260212","186.57","19","23.44","42.55","232.33","55.31","13"
"PH_Vel=2.5E-05","20260220","189.91","6","12.03","21.21","197.99","22.66","14"
"PH_Vel=2.5E-05","TOTAL","557.39","31","","","","",""
"PH_Vel=3E-05","20260211","180.91","6","12.04","12.54","192.51","30.87","11"
"PH_Vel=3E-05","20260212","186.57","19","23.44","42.55","232.33","55.31","13"
"PH_Vel=3E-05","20260220","189.91","6","12.03","21.23","197.99","22.66","12"
"PH_Vel=3E-05","TOTAL","557.39","31","","","","",""
"PH_Vel=4E-05","20260211","180.91","6","12.04","12.68","192.51","30.87","12"
"PH_Vel=4E-05","20260212","186.57","19","23.44","42.55","232.33","55.31","12"
"PH_Vel=4E-05","20260220","189.91","6","12.03","20.94","197.99","22.66","10"
"PH_Vel=4E-05","TOTAL","557.39","31","","","","",""
"PH_Vel=5E-05","20260211","180.91","6","12.04","12.66","192.51","30.87","12"
"PH_Vel=5E-05","20260212","186.57","19","23.44","42.55","232.33","55.31","10"
"PH_Vel=5E-05","20260220","189.91","6","12.03","20.94","197.99","22.66","10"
"PH_Vel=5E-05","TOTAL","557.39","31","","","","",""
"PH_TrendWin=600s","20260211","180.91","6","12.04","12.54","192.51","30.87","11"
"PH_TrendWin=600s","20260212","186.57","19","23.44","42.55","232.33","55.31","13"
"PH_TrendWin=600s","20260220","189.91","6","12.03","21.21","197.99","22.66","12"
"PH_TrendWin=600s","TOTAL","557.39","31","","","","",""
"PH_TrendWin=900s","20260211","180.91","6","12.04","12.53","192.51","30.87","11"
"PH_TrendWin=900s","20260212","186.57","19","23.44","42.55","232.33","55.31","13"
"PH_TrendWin=900s","20260220","189.91","6","12.03","20.94","197.99","22.66","10"
"PH_TrendWin=900s","TOTAL","557.39","31","","","","",""
"PH_TrendWin=1200s","20260211","180.91","6","12.04","12.57","192.51","30.87","10"
"PH_TrendWin=1200s","20260212","186.57","19","23.44","42.55","232.33","55.31","12"
"PH_TrendWin=1200s","20260220","189.91","6","12.03","21.21","197.99","22.66","12"
"PH_TrendWin=1200s","TOTAL","557.39","31","","","","",""
"PH_TrendWin=1800s","20260211","180.91","6","12.04","12.54","192.51","30.87","8"
"PH_TrendWin=1800s","20260212","186.57","19","23.44","42.55","232.33","55.31","10"
"PH_TrendWin=1800s","20260220","189.91","6","12.03","21.21","197.99","22.66","8"
"PH_TrendWin=1800s","TOTAL","557.39","31","","","","",""
"PH_TrendWin=2400s","20260211","180.91","6","12.04","12.56","192.51","30.87","10"
"PH_TrendWin=2400s","20260212","186.57","19","23.44","42.55","232.33","55.31","12"
"PH_TrendWin=2400s","20260220","189.91","6","12.03","21.21","197.99","22.66","10"
"PH_TrendWin=2400s","TOTAL","557.39","31","","","","",""
"PH_TrendWin=3600s","20260211","180.91","6","12.04","12.53","192.51","30.87","9"
"PH_TrendWin=3600s","20260212","186.57","19","23.44","42.55","232.33","55.31","9"
"PH_TrendWin=3600s","20260220","189.91","6","12.03","20.94","197.99","22.66","10"
"PH_TrendWin=3600s","TOTAL","557.39","31","","","","",""
"OV_SMA=60s","20260211","-473.54","29","31.34","64.37","33.35","510.34","10"
"OV_SMA=60s","20260212","171.56","9","10.53","17.16","217.54","15.95","9"
"OV_SMA=60s","20260220","157.44","8","16.03","27.32","178.59","15.45","11"
"OV_SMA=60s","TOTAL","-144.54","46","","","","",""
"OV_SMA=90s","20260211","182.13","9","12.98","20.71","203.73","56.94","8"
"OV_SMA=90s","20260212","171.11","17","21.45","37.75","216.87","35.01","12"
"OV_SMA=90s","20260220","166.58","10","20.03","31.33","181.98","46.15","14"
"OV_SMA=90s","TOTAL","519.82","36","","","","",""
"OV_SMA=120s","20260211","180.91","6","12.04","12.56","192.51","30.87","12"
"OV_SMA=120s","20260212","186.57","19","23.44","42.55","232.33","55.31","14"
"OV_SMA=120s","20260220","189.91","6","12.03","21.21","197.99","22.66","8"
"OV_SMA=120s","TOTAL","557.39","31","","","","",""
"OV_SMA=150s","20260211","163.79","4","8.02","7.87","175.47","30.87","12"
