"Scenario","Date","Phase","PnL","ReturnPct","Trades","PeakPnL","TroughPnL","Runtime"
"MACD-DEFAULT","20260209","full","-41.25","-0.41","9","81.48","63.06","7"
"MACD-DEFAULT","20260210","full","-91.47","-0.91","17","35.24","142.22","7"
"MACD-DEFAULT","20260211","full","196.96","1.97","6","205.66","27.93","7"
"MACD-DEFAULT","20260212","full","161.73","1.62","17","177.02","53.89","7"
"MACD-DEFAULT","20260213","full","179.18","1.79","6","182.32","118.80","7"
"MACD-DEFAULT","TOTAL","full","405.15","","55","","",""
"NO-MACD-REF","20260209","full","14.16","0.14","4","81.48","63.06","7"
"NO-MACD-REF","20260210","full","46.24","0.46","7","55.49","35.29","7"
"NO-MACD-REF","20260211","full","196.96","1.97","6","205.66","27.93","7"
"NO-MACD-REF","20260212","full","172.36","1.72","15","187.76","33.73","7"
"NO-MACD-REF","20260213","full","179.18","1.79","6","182.32","118.80","7"
"NO-MACD-REF","TOTAL","full","608.90","","38","","",""
"Accel-Only Wait=5s","20260209","full","14.16","0.14","4","81.48","63.06","7"
"Accel-Only Wait=5s","20260210","full","12.89","0.13","7","23.20","68.64","7"
"Accel-Only Wait=5s","20260211","full","196.96","1.97","6","205.66","27.93","7"
"Accel-Only Wait=5s","20260212","full","161.73","1.62","17","177.02","53.89","7"
"Accel-Only Wait=5s","20260213","full","179.18","1.79","6","182.32","118.80","7"
"Accel-Only Wait=5s","TOTAL","full","564.92","","40","","",""
"Accel-Only Wait=10s","20260209","full","14.16","0.14","4","81.48","63.06","7"
"Accel-Only Wait=10s","20260210","full","12.89","0.13","7","23.20","68.64","7"
"Accel-Only Wait=10s","20260211","full","196.96","1.97","6","205.66","27.93","7"
"Accel-Only Wait=10s","20260212","full","161.73","1.62","17","177.02","53.89","7"
"Accel-Only Wait=10s","20260213","full","179.18","1.79","6","182.32","118.80","8"
"Accel-Only Wait=10s","TOTAL","full","564.92","","40","","",""
"Accel-Only Wait=15s","20260209","full","14.16","0.14","4","81.48","63.06","7"
"Accel-Only Wait=15s","20260210","full","13.26","0.13","7","23.20","68.64","7"
"Accel-Only Wait=15s","20260211","full","196.96","1.97","6","205.66","27.93","7"
"Accel-Only Wait=15s","20260212","full","161.73","1.62","17","177.02","53.89","7"
"Accel-Only Wait=15s","20260213","full","179.18","1.79","6","182.32","118.80","7"
"Accel-Only Wait=15s","TOTAL","full","565.29","","40","","",""
"Accel-Only Wait=20s","20260209","full","14.16","0.14","4","81.48","63.06","7"
"Accel-Only Wait=20s","20260210","full","15.48","0.15","7","23.20","68.64","6"
"Accel-Only Wait=20s","20260211","full","196.96","1.97","6","205.66","27.93","7"
"Accel-Only Wait=20s","20260212","full","161.73","1.62","17","177.02","53.89","7"
"Accel-Only Wait=20s","20260213","full","179.18","1.79","6","182.32","118.80","7"
"Accel-Only Wait=20s","TOTAL","full","567.51","","40","","",""
"Accel-Only Wait=30s","20260209","full","14.16","0.14","4","81.48","63.06","7"
"Accel-Only Wait=30s","20260210","full","16.22","0.16","7","23.20","68.64","7"
"Accel-Only Wait=30s","20260211","full","196.96","1.97","6","205.66","27.93","8"
"Accel-Only Wait=30s","20260212","full","161.73","1.62","17","177.02","53.89","7"
"Accel-Only Wait=30s","20260213","full","179.18","1.79","6","182.32","118.80","7"
"Accel-Only Wait=30s","TOTAL","full","568.25","","40","","",""
"Accel-Only Wait=45s","20260209","full","14.16","0.14","4","81.48","63.06","7"
"Accel-Only Wait=45s","20260210","full","13.63","0.14","7","23.20","68.64","7"
"Accel-Only Wait=45s","20260211","full","196.96","1.97","6","205.66","27.93","7"
"Accel-Only Wait=45s","20260212","full","161.73","1.62","17","177.02","53.89","7"
"Accel-Only Wait=45s","20260213","full","179.18","1.79","6","182.32","118.80","7"
"Accel-Only Wait=45s","TOTAL","full","565.66","","40","","",""
"Accel-Only Wait=60s","20260209","full","14.16","0.14","4","81.48","63.06","8"
"Accel-Only Wait=60s","20260210","full","13.63","0.14","7","23.20","68.64","7"
"Accel-Only Wait=60s","20260211","full","196.96","1.97","6","205.66","27.93","7"
"Accel-Only Wait=60s","20260212","full","161.73","1.62","17","177.02","53.89","7"
"Accel-Only Wait=60s","20260213","full","179.18","1.79","6","182.32","118.80","7"
"Accel-Only Wait=60s","TOTAL","full","565.66","","40","","",""
"Accel-Only Wait=90s","20260209","full","14.16","0.14","4","81.48","63.06","7"
"Accel-Only Wait=90s","20260210","full","46.24","0.46","7","55.49","35.29","7"
"Accel-Only Wait=90s","20260211","full","196.96","1.97","6","199.86","27.93","7"
"Accel-Only Wait=90s","20260212","full","161.73","1.62","17","177.02","53.89","7"
"Accel-Only Wait=90s","20260213","full","179.18","1.79","6","182.32","118.80","8"
"Accel-Only Wait=90s","TOTAL","full","598.27","","40","","",""
