"Scenario","Date","Phase","PnL","ReturnPct","Trades","PeakPnL","TroughPnL","Runtime"
"MACD-DEFAULT","20260209","full","-41.25","-0.41","9","81.48","63.06","7"
"MACD-DEFAULT","20260210","full","-91.47","-0.91","17","35.24","142.22","7"
"MACD-DEFAULT","20260211","full","196.96","1.97","6","205.66","27.93","7"
"MACD-DEFAULT","20260212","full","161.73","1.62","17","177.02","53.89","7"
"MACD-DEFAULT","20260213","full","179.18","1.79","6","182.32","118.80","7"
"MACD-DEFAULT","TOTAL","full","405.15","","55","","",""
"NO-MACD-REF","20260209","full","14.16","0.14","4","81.48","63.06","7"
"NO-MACD-REF","20260210","full","46.24","0.46","7","55.49","35.29","7"
"NO-MACD-REF","20260211","full","196.96","1.97","6","205.66","27.93","7"
"NO-MACD-REF","20260212","full","172.36","1.72","15","187.76","33.73","7"
"NO-MACD-REF","20260213","full","179.18","1.79","6","182.32","118.80","7"
"NO-MACD-REF","TOTAL","full","608.90","","38","","",""
"BoostThresh=0.005","20260209","full","-32.55","-0.33","9","81.48","63.06","8"
"BoostThresh=0.005","20260210","full","-90.00","-0.90","17","36.71","140.75","7"
"BoostThresh=0.005","20260211","full","196.96","1.97","6","205.66","27.93","7"
"BoostThresh=0.005","20260212","full","161.73","1.62","17","177.02","53.89","7"
"BoostThresh=0.005","20260213","full","179.18","1.79","6","182.32","118.80","7"
"BoostThresh=0.005","TOTAL","full","415.32","","55","","",""
"BoostThresh=0.01","20260209","full","-32.55","-0.33","9","81.48","63.06","7"
"BoostThresh=0.01","20260210","full","-90.00","-0.90","17","36.71","140.75","7"
"BoostThresh=0.01","20260211","full","196.96","1.97","6","205.66","27.93","7"
"BoostThresh=0.01","20260212","full","161.73","1.62","17","177.02","53.89","8"
"BoostThresh=0.01","20260213","full","179.18","1.79","6","182.32","118.80","10"
"BoostThresh=0.01","TOTAL","full","415.32","","55","","",""
"BoostThresh=0.02","20260209","full","-32.55","-0.33","9","81.48","63.06","8"
"BoostThresh=0.02","20260210","full","-90.00","-0.90","17","36.71","140.75","7"
"BoostThresh=0.02","20260211","full","196.96","1.97","6","205.66","27.93","8"
"BoostThresh=0.02","20260212","full","161.73","1.62","17","177.02","53.89","7"
"BoostThresh=0.02","20260213","full","179.18","1.79","6","182.32","118.80","7"
"BoostThresh=0.02","TOTAL","full","415.32","","55","","",""
"BoostThresh=0.03","20260209","full","-41.25","-0.41","9","81.48","63.06","7"
"BoostThresh=0.03","20260210","full","-91.47","-0.91","17","35.24","142.22","7"
"BoostThresh=0.03","20260211","full","196.96","1.97","6","205.66","27.93","7"
"BoostThresh=0.03","20260212","full","161.73","1.62","17","177.02","53.89","7"
"BoostThresh=0.03","20260213","full","179.18","1.79","6","182.32","118.80","7"
"BoostThresh=0.03","TOTAL","full","405.15","","55","","",""
"BoostThresh=0.05","20260209","full","-29.65","-0.30","9","81.48","63.06","7"
"BoostThresh=0.05","20260210","full","-140.72","-1.41","15","23.20","202.89","7"
"BoostThresh=0.05","20260211","full","196.96","1.97","6","205.66","27.93","7"
"BoostThresh=0.05","20260212","full","161.73","1.62","17","177.02","53.89","7"
"BoostThresh=0.05","20260213","full","179.18","1.79","6","182.32","118.80","7"
"BoostThresh=0.05","TOTAL","full","367.50","","53","","",""
"BoostThresh=0.08","20260209","full","-34.00","-0.34","9","81.48","63.06","8"
"BoostThresh=0.08","20260210","full","-149.64","-1.50","13","23.20","211.81","7"
"BoostThresh=0.08","20260211","full","196.96","1.97","6","205.66","27.93","7"
"BoostThresh=0.08","20260212","full","161.73","1.62","17","177.02","53.89","8"
"BoostThresh=0.08","20260213","full","179.18","1.79","6","182.32","118.80","7"
"BoostThresh=0.08","TOTAL","full","354.23","","51","","",""
"BoostThresh=0.12","20260209","full","4.15","0.04","6","81.48","63.06","7"
"BoostThresh=0.12","20260210","full","-33.45","-0.33","9","23.20","114.87","7"
"BoostThresh=0.12","20260211","full","196.96","1.97","6","205.66","27.93","7"
"BoostThresh=0.12","20260212","full","161.73","1.62","17","177.02","53.89","8"
"BoostThresh=0.12","20260213","full","179.18","1.79","6","182.32","118.80","7"
"BoostThresh=0.12","TOTAL","full","508.57","","44","","",""
