"Scenario","Date","Phase","PnL","ReturnPct","Trades","PeakPnL","TroughPnL","Runtime"
"MACD-DEFAULT","20260209","full","-41.25","-0.41","9","81.48","63.06","7"
"MACD-DEFAULT","20260210","full","-91.47","-0.91","17","35.24","142.22","8"
"MACD-DEFAULT","20260211","full","196.96","1.97","6","205.66","27.93","7"
"MACD-DEFAULT","20260212","full","161.73","1.62","17","177.02","53.89","8"
"MACD-DEFAULT","20260213","full","179.18","1.79","6","182.32","118.80","7"
"MACD-DEFAULT","TOTAL","full","405.15","","55","","",""
"NO-MACD-REF","20260209","full","14.16","0.14","4","81.48","63.06","7"
"NO-MACD-REF","20260210","full","46.24","0.46","7","55.49","35.29","7"
"NO-MACD-REF","20260211","full","196.96","1.97","6","205.66","27.93","7"
"NO-MACD-REF","20260212","full","172.36","1.72","15","187.76","33.73","8"
"NO-MACD-REF","20260213","full","179.18","1.79","6","182.32","118.80","8"
"NO-MACD-REF","TOTAL","full","608.90","","38","","",""
"Gate-Only DZ=0.005","20260209","full","14.16","0.14","4","81.48","63.06","8"
"Gate-Only DZ=0.005","20260210","full","46.24","0.46","7","55.49","35.29","8"
"Gate-Only DZ=0.005","20260211","full","196.96","1.97","6","205.66","27.93","8"
"Gate-Only DZ=0.005","20260212","full","172.36","1.72","15","187.76","33.73","8"
"Gate-Only DZ=0.005","20260213","full","179.18","1.79","6","182.32","118.80","7"
"Gate-Only DZ=0.005","TOTAL","full","608.90","","38","","",""
"Gate-Only DZ=0.01","20260209","full","14.16","0.14","4","81.48","63.06","8"
"Gate-Only DZ=0.01","20260210","full","46.24","0.46","7","55.49","35.29","7"
"Gate-Only DZ=0.01","20260211","full","196.96","1.97","6","205.66","27.93","7"
"Gate-Only DZ=0.01","20260212","full","172.36","1.72","15","187.76","33.73","9"
"Gate-Only DZ=0.01","20260213","full","179.18","1.79","6","182.32","118.80","8"
"Gate-Only DZ=0.01","TOTAL","full","608.90","","38","","",""
"Gate-Only DZ=0.015","20260209","full","14.16","0.14","4","81.48","63.06","8"
"Gate-Only DZ=0.015","20260210","full","46.24","0.46","7","55.49","35.29","7"
"Gate-Only DZ=0.015","20260211","full","196.96","1.97","6","205.66","27.93","8"
"Gate-Only DZ=0.015","20260212","full","172.36","1.72","15","187.76","33.73","8"
"Gate-Only DZ=0.015","20260213","full","179.18","1.79","6","182.32","118.80","7"
"Gate-Only DZ=0.015","TOTAL","full","608.90","","38","","",""
"Gate-Only DZ=0.02","20260209","full","14.16","0.14","4","81.48","63.06","7"
"Gate-Only DZ=0.02","20260210","full","46.24","0.46","7","55.49","35.29","8"
"Gate-Only DZ=0.02","20260211","full","196.96","1.97","6","205.66","27.93","9"
"Gate-Only DZ=0.02","20260212","full","172.36","1.72","15","187.76","33.73","8"
"Gate-Only DZ=0.02","20260213","full","179.18","1.79","6","182.32","118.80","7"
"Gate-Only DZ=0.02","TOTAL","full","608.90","","38","","",""
"Gate-Only DZ=0.03","20260209","full","14.16","0.14","4","81.48","63.06","7"
"Gate-Only DZ=0.03","20260210","full","46.24","0.46","7","55.49","35.29","7"
"Gate-Only DZ=0.03","20260211","full","196.96","1.97","6","205.66","27.93","7"
"Gate-Only DZ=0.03","20260212","full","172.36","1.72","15","187.76","33.73","7"
