"Scenario","Date","Phase","PnL","ReturnPct","Trades","PeakPnL","TroughPnL","Runtime"
"MACD-DEFAULT","20260211","base","-74.11","-0.74","15","62.66","93.98","18"
"MACD-DEFAULT","20260213","base","-297.12","-2.97","19","86.49","336.27","16"
"MACD-DEFAULT","TOTAL","base","-371.23","","34","","",""
"NO-MACD-REF","20260211","base","-66.56","-0.67","7","62.66","66.56","10"
"NO-MACD-REF","20260213","base","-97.33","-0.97","9","101.56","97.33","10"
"NO-MACD-REF","TOTAL","base","-163.89","","16","","",""
"NoMACD Vel=4E-06","20260211","base","-462.26","-4.62","33","62.66","488.16","10"
"NoMACD Vel=4E-06","20260213","base","-444.18","-4.44","31","170.15","445.98","10"
"NoMACD Vel=4E-06","TOTAL","base","-906.44","","64","","",""
"NoMACD Vel=6E-06","20260211","base","-368.76","-3.69","25","62.66","396.81","11"
"NoMACD Vel=6E-06","20260213","base","-121.68","-1.22","19","102.02","175.95","9"
"NoMACD Vel=6E-06","TOTAL","base","-490.44","","44","","",""
"NoMACD Vel=8E-06","20260211","base","-270.55","-2.71","17","62.66","293.44","9"
"NoMACD Vel=8E-06","20260213","base","-159.31","-1.59","17","88.06","159.31","10"
"NoMACD Vel=8E-06","TOTAL","base","-429.86","","34","","",""
"NoMACD Vel=1E-05","20260211","base","-159.44","-1.59","11","62.66","162.26","7"
"NoMACD Vel=1E-05","20260213","base","-192.83","-1.93","15","88.06","192.83","5"
"NoMACD Vel=1E-05","TOTAL","base","-352.27","","26","","",""
"NoMACD Vel=1.2E-05","20260211","base","-66.56","-0.67","7","62.66","69.40","6"
"NoMACD Vel=1.2E-05","20260213","base","-170.73","-1.71","13","94.18","170.73","6"
"NoMACD Vel=1.2E-05","TOTAL","base","-237.29","","20","","",""
"NoMACD Vel=1.5E-05","20260211","base","-66.56","-0.67","7","62.66","69.40","5"
"NoMACD Vel=1.5E-05","20260213","base","-97.33","-0.97","9","101.56","97.33","5"
"NoMACD Vel=1.5E-05","TOTAL","base","-163.89","","16","","",""
"Gate V=4E-06 DZ=0.01","20260211","base","-474.30","-4.74","33","62.66","500.20","5"
"Gate V=4E-06 DZ=0.01","20260213","base","-446.21","-4.46","31","170.15","448.01","5"
"Gate V=4E-06 DZ=0.01","TOTAL","base","-920.51","","64","","",""
"Gate V=4E-06 DZ=0.02","20260211","base","-377.25","-3.77","31","62.66","403.29","5"
"Gate V=4E-06 DZ=0.02","20260213","base","-446.21","-4.46","31","170.15","448.01","6"
"Gate V=4E-06 DZ=0.02","TOTAL","base","-823.46","","62","","",""
"Gate V=4E-06 DZ=0.03","20260211","base","-231.38","-2.31","27","62.66","257.84","5"
"Gate V=4E-06 DZ=0.03","20260213","base","-446.21","-4.46","31","170.15","448.01","5"
"Gate V=4E-06 DZ=0.03","TOTAL","base","-677.59","","58","","",""
"Gate V=4E-06 DZ=0.05","20260211","base","-231.38","-2.31","27","62.66","257.84","6"
"Gate V=4E-06 DZ=0.05","20260213","base","-442.53","-4.43","31","170.15","444.33","5"
"Gate V=4E-06 DZ=0.05","TOTAL","base","-673.91","","58","","",""
"Gate V=4E-06 DZ=0.08","20260211","base","-260.22","-2.60","27","62.66","286.68","6"
"Gate V=4E-06 DZ=0.08","20260213","base","-263.18","-2.63","25","170.15","263.18","6"
"Gate V=4E-06 DZ=0.08","TOTAL","base","-523.40","","52","","",""
"Gate V=4E-06 DZ=0.12","20260211","base","-307.09","-3.07","27","62.66","329.65","6"
"Gate V=4E-06 DZ=0.12","20260213","base","-112.87","-1.13","17","170.15","112.87","5"
"Gate V=4E-06 DZ=0.12","TOTAL","base","-419.96","","44","","",""
"Gate V=6E-06 DZ=0.01","20260211","base","-368.76","-3.69","25","62.66","396.81","6"
"Gate V=6E-06 DZ=0.01","20260213","base","-121.68","-1.22","19","102.02","175.95","5"
"Gate V=6E-06 DZ=0.01","TOTAL","base","-490.44","","44","","",""
"Gate V=6E-06 DZ=0.02","20260211","base","-278.09","-2.78","23","62.66","306.29","6"
"Gate V=6E-06 DZ=0.02","20260213","base","-121.68","-1.22","19","102.02","175.95","5"
"Gate V=6E-06 DZ=0.02","TOTAL","base","-399.77","","42","","",""
"Gate V=6E-06 DZ=0.03","20260211","base","-278.09","-2.78","23","62.66","306.29","5"
"Gate V=6E-06 DZ=0.03","20260213","base","-121.68","-1.22","19","102.02","175.95","6"
"Gate V=6E-06 DZ=0.03","TOTAL","base","-399.77","","42","","",""
"Gate V=6E-06 DZ=0.05","20260211","base","-278.09","-2.78","23","62.66","306.29","5"
"Gate V=6E-06 DZ=0.05","20260213","base","-117.62","-1.18","19","102.02","171.89","6"
"Gate V=6E-06 DZ=0.05","TOTAL","base","-395.71","","42","","",""
"Gate V=6E-06 DZ=0.08","20260211","base","-278.09","-2.78","23","62.66","306.29","5"
"Gate V=6E-06 DZ=0.08","20260213","base","-116.27","-1.16","19","102.02","170.54","6"
"Gate V=6E-06 DZ=0.08","TOTAL","base","-394.36","","42","","",""
"Gate V=6E-06 DZ=0.12","20260211","base","-303.33","-3.03","23","62.66","325.89","5"
"Gate V=6E-06 DZ=0.12","20260213","base","-96.76","-0.97","15","102.02","96.76","6"
"Gate V=6E-06 DZ=0.12","TOTAL","base","-400.09","","38","","",""
"Gate V=8E-06 DZ=0.01","20260211","base","-270.55","-2.71","17","62.66","293.44","5"
"Gate V=8E-06 DZ=0.01","20260213","base","-159.31","-1.59","17","88.06","159.31","6"
"Gate V=8E-06 DZ=0.01","TOTAL","base","-429.86","","34","","",""
"Gate V=8E-06 DZ=0.02","20260211","base","-270.55","-2.71","17","62.66","293.44","5"
"Gate V=8E-06 DZ=0.02","20260213","base","-159.31","-1.59","17","88.06","159.31","6"
"Gate V=8E-06 DZ=0.02","TOTAL","base","-429.86","","34","","",""
"Gate V=8E-06 DZ=0.03","20260211","base","-270.55","-2.71","17","62.66","293.44","5"
"Gate V=8E-06 DZ=0.03","20260213","base","-159.31","-1.59","17","88.06","159.31","6"
"Gate V=8E-06 DZ=0.03","TOTAL","base","-429.86","","34","","",""
"Gate V=8E-06 DZ=0.05","20260211","base","-270.55","-2.71","17","62.66","293.44","6"
"Gate V=8E-06 DZ=0.05","20260213","base","-159.31","-1.59","17","88.06","159.31","6"
"Gate V=8E-06 DZ=0.05","TOTAL","base","-429.86","","34","","",""
"Gate V=8E-06 DZ=0.08","20260211","base","-270.55","-2.71","17","62.66","293.44","5"
