"Scenario","Date","Phase","PnL","ReturnPct","Trades","PeakPnL","TroughPnL","Runtime"
"MACD-DEFAULT","20260211","full","196.96","1.97","6","205.66","27.93","8"
"MACD-DEFAULT","20260213","full","179.18","1.79","6","182.32","118.80","7"
"MACD-DEFAULT","TOTAL","full","376.14","","12","","",""
"NO-MACD-REF","20260211","full","196.96","1.97","6","205.66","27.93","8"
"NO-MACD-REF","20260213","full","179.18","1.79","6","182.32","118.80","7"
"NO-MACD-REF","TOTAL","full","376.14","","12","","",""
"F=180 S=480 Sig=60 (warm=540s)","20260211","full","182.26","1.82","6","188.06","27.93","8"
"F=180 S=480 Sig=60 (warm=540s)","20260213","full","179.18","1.79","6","182.32","118.80","9"
"F=180 S=480 Sig=60 (warm=540s)","TOTAL","full","361.44","","12","","",""
"F=180 S=480 Sig=120 (warm=600s)","20260211","full","182.26","1.82","6","188.06","27.93","7"
"F=180 S=480 Sig=120 (warm=600s)","20260213","full","179.18","1.79","6","182.32","118.80","8"
"F=180 S=480 Sig=120 (warm=600s)","TOTAL","full","361.44","","12","","",""
"F=180 S=480 Sig=180 (warm=660s)","20260211","full","196.96","1.97","6","205.66","27.93","7"
"F=180 S=480 Sig=180 (warm=660s)","20260213","full","179.18","1.79","6","182.32","118.80","7"
"F=180 S=480 Sig=180 (warm=660s)","TOTAL","full","376.14","","12","","",""
"F=180 S=480 Sig=300 (warm=780s)","20260211","full","196.96","1.97","6","205.66","27.93","7"
"F=180 S=480 Sig=300 (warm=780s)","20260213","full","179.18","1.79","6","182.32","118.80","7"
"F=180 S=480 Sig=300 (warm=780s)","TOTAL","full","376.14","","12","","",""
"F=180 S=720 Sig=60 (warm=780s)","20260211","full","182.26","1.82","6","188.06","27.93","7"
"F=180 S=720 Sig=60 (warm=780s)","20260213","full","179.18","1.79","6","182.32","118.80","8"
"F=180 S=720 Sig=60 (warm=780s)","TOTAL","full","361.44","","12","","",""
"F=180 S=720 Sig=120 (warm=840s)","20260211","full","196.96","1.97","6","205.66","27.93","7"
"F=180 S=720 Sig=120 (warm=840s)","20260213","full","179.18","1.79","6","182.32","118.80","8"
"F=180 S=720 Sig=120 (warm=840s)","TOTAL","full","376.14","","12","","",""
"F=180 S=720 Sig=180 (warm=900s)","20260211","full","196.96","1.97","6","205.66","27.93","7"
"F=180 S=720 Sig=180 (warm=900s)","20260213","full","179.18","1.79","6","182.32","118.80","8"
"F=180 S=720 Sig=180 (warm=900s)","TOTAL","full","376.14","","12","","",""
"F=180 S=720 Sig=300 (warm=1020s)","20260211","full","196.96","1.97","6","205.66","27.93","7"
"F=180 S=720 Sig=300 (warm=1020s)","20260213","full","179.18","1.79","6","182.32","118.80","8"
"F=180 S=720 Sig=300 (warm=1020s)","TOTAL","full","376.14","","12","","",""
"F=180 S=1200 Sig=60 (warm=1260s)","20260211","full","196.96","1.97","6","205.66","27.93","7"
"F=180 S=1200 Sig=60 (warm=1260s)","20260213","full","179.18","1.79","6","182.32","118.80","8"
"F=180 S=1200 Sig=60 (warm=1260s)","TOTAL","full","376.14","","12","","",""
"F=180 S=1200 Sig=120 (warm=1320s)","20260211","full","196.96","1.97","6","205.66","27.93","7"
"F=180 S=1200 Sig=120 (warm=1320s)","20260213","full","179.18","1.79","6","182.32","118.80","8"
"F=180 S=1200 Sig=120 (warm=1320s)","TOTAL","full","376.14","","12","","",""
"F=180 S=1200 Sig=180 (warm=1380s)","20260211","full","196.96","1.97","6","205.66","27.93","7"
"F=180 S=1200 Sig=180 (warm=1380s)","20260213","full","179.18","1.79","6","182.32","118.80","7"
"F=180 S=1200 Sig=180 (warm=1380s)","TOTAL","full","376.14","","12","","",""
"F=180 S=1200 Sig=300 (warm=1500s)","20260211","full","196.96","1.97","6","205.66","27.93","7"
"F=180 S=1200 Sig=300 (warm=1500s)","20260213","full","179.18","1.79","6","182.32","118.80","8"
"F=180 S=1200 Sig=300 (warm=1500s)","TOTAL","full","376.14","","12","","",""
"F=180 S=1800 Sig=60 (warm=1860s)","20260211","full","196.96","1.97","6","205.66","27.93","7"
"F=180 S=1800 Sig=60 (warm=1860s)","20260213","full","179.18","1.79","6","182.32","118.80","8"
"F=180 S=1800 Sig=60 (warm=1860s)","TOTAL","full","376.14","","12","","",""
"F=180 S=1800 Sig=120 (warm=1920s)","20260211","full","196.96","1.97","6","205.66","27.93","7"
"F=180 S=1800 Sig=120 (warm=1920s)","20260213","full","179.18","1.79","6","182.32","118.80","8"
"F=180 S=1800 Sig=120 (warm=1920s)","TOTAL","full","376.14","","12","","",""
"F=180 S=1800 Sig=180 (warm=1980s)","20260211","full","196.96","1.97","6","205.66","27.93","8"
