"Scenario","Date","Phase","PnL","ReturnPct","Trades","PeakPnL","TroughPnL","Runtime"
"MACD-DEFAULT","20260211","ov","196.96","1.97","6","205.66","27.93","5"
"MACD-DEFAULT","20260213","ov","179.18","1.79","6","182.32","118.80","6"
"MACD-DEFAULT","TOTAL","ov","376.14","","12","","",""
"NO-MACD-REF","20260211","ov","196.96","1.97","6","205.66","27.93","7"
"NO-MACD-REF","20260213","ov","179.18","1.79","6","182.32","118.80","6"
"NO-MACD-REF","TOTAL","ov","376.14","","12","","",""
"OV_EntryGate=True","20260211","ov","196.96","1.97","6","205.66","27.93","6"
"OV_EntryGate=True","20260213","ov","179.18","1.79","6","182.32","118.80","6"
"OV_EntryGate=True","TOTAL","ov","376.14","","12","","",""
"OV_EntryGate=False","20260211","ov","196.96","1.97","6","205.66","27.93","6"
"OV_EntryGate=False","20260213","ov","179.18","1.79","6","182.32","118.80","6"
"OV_EntryGate=False","TOTAL","ov","376.14","","12","","",""
"OV_BoostThresh=0.01","20260211","ov","196.96","1.97","6","205.66","27.93","6"
"OV_BoostThresh=0.01","20260213","ov","179.18","1.79","6","182.32","118.80","6"
"OV_BoostThresh=0.01","TOTAL","ov","376.14","","12","","",""
"OV_BoostThresh=0.02","20260211","ov","196.96","1.97","6","205.66","27.93","6"
"OV_BoostThresh=0.02","20260213","ov","179.18","1.79","6","182.32","118.80","6"
"OV_BoostThresh=0.02","TOTAL","ov","376.14","","12","","",""
"OV_BoostThresh=0.03","20260211","ov","196.96","1.97","6","205.66","27.93","6"
"OV_BoostThresh=0.03","20260213","ov","179.18","1.79","6","182.32","118.80","6"
"OV_BoostThresh=0.03","TOTAL","ov","376.14","","12","","",""
"OV_BoostThresh=0.05","20260211","ov","196.96","1.97","6","205.66","27.93","6"
"OV_BoostThresh=0.05","20260213","ov","179.18","1.79","6","182.32","118.80","6"
"OV_BoostThresh=0.05","TOTAL","ov","376.14","","12","","",""
"OV_BoostThresh=0.08","20260211","ov","196.96","1.97","6","205.66","27.93","6"
"OV_BoostThresh=0.08","20260213","ov","179.18","1.79","6","182.32","118.80","6"
"OV_BoostThresh=0.08","TOTAL","ov","376.14","","12","","",""
"OV_AccelWait=5s","20260211","ov","196.96","1.97","6","205.66","27.93","7"
"OV_AccelWait=5s","20260213","ov","179.18","1.79","6","182.32","118.80","6"
"OV_AccelWait=5s","TOTAL","ov","376.14","","12","","",""
"OV_AccelWait=10s","20260211","ov","196.96","1.97","6","205.66","27.93","6"
"OV_AccelWait=10s","20260213","ov","179.18","1.79","6","182.32","118.80","6"
"OV_AccelWait=10s","TOTAL","ov","376.14","","12","","",""
"OV_AccelWait=15s","20260211","ov","196.96","1.97","6","205.66","27.93","6"
"OV_AccelWait=15s","20260213","ov","179.18","1.79","6","182.32","118.80","6"
"OV_AccelWait=15s","TOTAL","ov","376.14","","12","","",""
"OV_AccelWait=30s","20260211","ov","196.96","1.97","6","205.66","27.93","6"
"OV_AccelWait=30s","20260213","ov","179.18","1.79","6","182.32","118.80","6"
"OV_AccelWait=30s","TOTAL","ov","376.14","","12","","",""
"OV_MACD=OFF","20260211","ov","196.96","1.97","6","205.66","27.93","6"
"OV_MACD=OFF","20260213","ov","179.18","1.79","6","182.32","118.80","6"
"OV_MACD=OFF","TOTAL","ov","376.14","","12","","",""
