"Scenario","Date","Phase","PnL","ReturnPct","Trades","PeakPnL","TroughPnL","Runtime"
"MACD-DEFAULT","20260211","base","-74.11","-0.74","15","62.66","93.98","5"
"MACD-DEFAULT","20260213","base","-297.12","-2.97","19","86.49","336.27","5"
"MACD-DEFAULT","TOTAL","base","-371.23","","34","","",""
"NO-MACD-REF","20260211","base","-66.56","-0.67","7","62.66","69.40","5"
"NO-MACD-REF","20260213","base","-97.33","-0.97","9","101.56","97.33","5"
"NO-MACD-REF","TOTAL","base","-163.89","","16","","",""
"Velocity=4E-06","20260211","base","-306.48","-3.06","31","62.66","332.80","6"
"Velocity=4E-06","20260213","base","-443.24","-4.43","33","170.15","481.52","5"
"Velocity=4E-06","TOTAL","base","-749.72","","64","","",""
"Velocity=6E-06","20260211","base","-229.32","-2.29","27","62.66","257.67","6"
"Velocity=6E-06","20260213","base","-306.24","-3.06","27","102.02","345.39","6"
"Velocity=6E-06","TOTAL","base","-535.56","","54","","",""
"Velocity=8E-06","20260211","base","-289.07","-2.89","25","62.66","310.65","5"
"Velocity=8E-06","20260213","base","-342.57","-3.43","25","88.06","381.43","6"
"Velocity=8E-06","TOTAL","base","-631.64","","50","","",""
"Velocity=1E-05","20260211","base","-178.19","-1.78","19","62.66","197.77","5"
"Velocity=1E-05","20260213","base","-376.09","-3.76","23","88.06","414.95","6"
"Velocity=1E-05","TOTAL","base","-554.28","","42","","",""
"Velocity=1.2E-05","20260211","base","-74.11","-0.74","15","62.66","93.98","5"
"Velocity=1.2E-05","20260213","base","-368.61","-3.69","23","94.18","407.47","5"
"Velocity=1.2E-05","TOTAL","base","-442.72","","38","","",""
"Velocity=1.5E-05","20260211","base","-74.11","-0.74","15","62.66","93.98","5"
"Velocity=1.5E-05","20260213","base","-297.12","-2.97","19","86.49","336.27","6"
"Velocity=1.5E-05","TOTAL","base","-371.23","","34","","",""
"Velocity=2E-05","20260211","base","-74.11","-0.74","15","62.66","93.98","5"
"Velocity=2E-05","20260213","base","-297.12","-2.97","19","86.49","336.27","6"
"Velocity=2E-05","TOTAL","base","-371.23","","34","","",""
"TrendWindow=1200s","20260211","base","-86.89","-0.87","15","62.66","96.90","5"
"TrendWindow=1200s","20260213","base","-297.12","-2.97","19","86.49","336.27","5"
"TrendWindow=1200s","TOTAL","base","-384.01","","34","","",""
"TrendWindow=1800s","20260211","base","-86.89","-0.87","15","62.66","96.90","5"
"TrendWindow=1800s","20260213","base","-297.12","-2.97","19","86.49","336.27","5"
"TrendWindow=1800s","TOTAL","base","-384.01","","34","","",""
"TrendWindow=2400s","20260211","base","-74.11","-0.74","15","62.66","93.98","5"
"TrendWindow=2400s","20260213","base","-297.12","-2.97","19","86.49","336.27","6"
"TrendWindow=2400s","TOTAL","base","-371.23","","34","","",""
"TrendWindow=3600s","20260211","base","-74.11","-0.74","15","62.66","93.98","5"
"TrendWindow=3600s","20260213","base","-297.12","-2.97","19","86.49","336.27","5"
"TrendWindow=3600s","TOTAL","base","-371.23","","34","","",""
"TrendWindow=5400s","20260211","base","-74.11","-0.74","15","62.66","93.98","5"
"TrendWindow=5400s","20260213","base","-297.12","-2.97","19","86.49","336.27","6"
"TrendWindow=5400s","TOTAL","base","-371.23","","34","","",""
"TrendWindow=7200s","20260211","base","-74.11","-0.74","15","62.66","93.98","6"
"TrendWindow=7200s","20260213","base","-297.12","-2.97","19","86.49","336.27","5"
"TrendWindow=7200s","TOTAL","base","-371.23","","34","","",""
"SMA=120s","20260211","base","-250.03","-2.50","17","39.83","258.43","5"
"SMA=120s","20260213","base","-200.05","-2.00","17","53.38","201.41","6"
"SMA=120s","TOTAL","base","-450.08","","34","","",""
"SMA=150s","20260211","base","-231.79","-2.32","17","62.66","240.89","5"
"SMA=150s","20260213","base","-377.51","-3.78","23","88.06","378.85","5"
