"Scenario","Date","Phase","PnL","ReturnPct","Trades","PeakPnL","TroughPnL","Runtime"
"MACD-DEFAULT","20260209","full","-41.25","-0.41","9","81.48","63.06","8"
"MACD-DEFAULT","20260210","full","-91.47","-0.91","17","35.24","142.22","8"
"MACD-DEFAULT","20260211","full","196.96","1.97","6","205.66","27.93","7"
"MACD-DEFAULT","20260212","full","161.73","1.62","17","177.02","53.89","8"
"MACD-DEFAULT","20260213","full","179.18","1.79","6","182.32","118.80","7"
"MACD-DEFAULT","TOTAL","full","405.15","","55","","",""
"NO-MACD-REF","20260209","full","14.16","0.14","4","81.48","63.06","7"
"NO-MACD-REF","20260210","full","46.24","0.46","7","55.49","35.29","7"
"NO-MACD-REF","20260211","full","196.96","1.97","6","205.66","27.93","7"
"NO-MACD-REF","20260212","full","172.36","1.72","15","187.76","33.73","7"
"NO-MACD-REF","20260213","full","179.18","1.79","6","182.32","118.80","8"
"NO-MACD-REF","TOTAL","full","608.90","","38","","",""
"Boost-ONLY","20260209","full","-41.25","-0.41","9","81.48","63.06","8"
"Boost-ONLY","20260210","full","-60.04","-0.60","17","68.59","109.35","7"
"Boost-ONLY","20260211","full","196.96","1.97","6","205.66","27.93","7"
"Boost-ONLY","20260212","full","172.36","1.72","15","187.76","33.73","7"
"Boost-ONLY","20260213","full","179.18","1.79","6","182.32","118.80","7"
"Boost-ONLY","TOTAL","full","447.21","","53","","",""
"Accel-ONLY","20260209","full","14.16","0.14","4","81.48","63.06","7"
"Accel-ONLY","20260210","full","13.26","0.13","7","23.20","68.64","7"
"Accel-ONLY","20260211","full","196.96","1.97","6","205.66","27.93","8"
"Accel-ONLY","20260212","full","161.73","1.62","17","177.02","53.89","7"
"Accel-ONLY","20260213","full","179.18","1.79","6","182.32","118.80","7"
"Accel-ONLY","TOTAL","full","565.29","","40","","",""
"Gate-ONLY","20260209","full","14.16","0.14","4","81.48","63.06","7"
"Gate-ONLY","20260210","full","46.24","0.46","7","55.49","35.29","7"
"Gate-ONLY","20260211","full","196.96","1.97","6","205.66","27.93","7"
"Gate-ONLY","20260212","full","172.36","1.72","15","187.76","33.73","8"
"Gate-ONLY","20260213","full","179.18","1.79","6","182.32","118.80","7"
"Gate-ONLY","TOTAL","full","608.90","","38","","",""
"Boost+Accel","20260209","full","-41.25","-0.41","9","81.48","63.06","8"
"Boost+Accel","20260210","full","-91.47","-0.91","17","35.24","142.22","7"
"Boost+Accel","20260211","full","196.96","1.97","6","205.66","27.93","7"
"Boost+Accel","20260212","full","161.73","1.62","17","177.02","53.89","8"
"Boost+Accel","20260213","full","179.18","1.79","6","182.32","118.80","8"
"Boost+Accel","TOTAL","full","405.15","","55","","",""
"Boost+Gate","20260209","full","-41.25","-0.41","9","81.48","63.06","7"
"Boost+Gate","20260210","full","-60.04","-0.60","17","68.59","109.35","7"
"Boost+Gate","20260211","full","196.96","1.97","6","205.66","27.93","7"
"Boost+Gate","20260212","full","172.36","1.72","15","187.76","33.73","8"
"Boost+Gate","20260213","full","179.18","1.79","6","182.32","118.80","8"
"Boost+Gate","TOTAL","full","447.21","","53","","",""
"Accel+Gate","20260209","full","14.16","0.14","4","81.48","63.06","7"
"Accel+Gate","20260210","full","13.26","0.13","7","23.20","68.64","7"
"Accel+Gate","20260211","full","196.96","1.97","6","205.66","27.93","7"
"Accel+Gate","20260212","full","161.73","1.62","17","177.02","53.89","8"
"Accel+Gate","20260213","full","179.18","1.79","6","182.32","118.80","7"
"Accel+Gate","TOTAL","full","565.29","","40","","",""
"ALL-ON","20260209","full","-41.25","-0.41","9","81.48","63.06","7"
"ALL-ON","20260210","full","-91.47","-0.91","17","35.24","142.22","8"
"ALL-ON","20260211","full","196.96","1.97","6","205.66","27.93","8"
"ALL-ON","20260212","full","161.73","1.62","17","177.02","53.89","7"
"ALL-ON","20260213","full","179.18","1.79","6","182.32","118.80","8"
"ALL-ON","TOTAL","full","405.15","","55","","",""
