"Scenario","Date","Phase","PnL","ReturnPct","Trades","PeakPnL","TroughPnL","Runtime"
"CURRENT","20260209","base","-94.49","-0.94","4","0.00","94.49","4"
"CURRENT","20260210","base","-10.91","-0.11","8","65.28","40.20","5"
"CURRENT","20260211","base","142.18","1.42","5","161.03","23.36","5"
"CURRENT","20260212","base","144.05","1.44","11","160.15","63.42","6"
"CURRENT","20260213","base","-596.26","-5.96","27","27.00","597.56","6"
"CURRENT","TOTAL","base","-415.43","","55","","",""
"Velocity=4E-06","20260209","base","-49.21","-0.49","9","47.77","49.21","6"
"Velocity=4E-06","20260210","base","-167.82","-1.68","10","78.72","210.72","5"
"Velocity=4E-06","20260211","base","142.18","1.42","5","161.03","23.36","6"
"Velocity=4E-06","20260212","base","-458.30","-4.58","45","49.06","507.89","6"
"Velocity=4E-06","20260213","base","-481.40","-4.81","37","27.00","488.79","6"
"Velocity=4E-06","TOTAL","base","-1014.55","","106","","",""
"Velocity=6E-06","20260209","base","-179.23","-1.79","6","15.68","179.23","5"
"Velocity=6E-06","20260210","base","-76.09","-0.76","10","78.72","105.18","5"
"Velocity=6E-06","20260211","base","142.18","1.42","5","161.03","23.36","5"
"Velocity=6E-06","20260212","base","-288.75","-2.89","41","154.01","339.14","6"
"Velocity=6E-06","20260213","base","-614.21","-6.14","31","27.00","615.51","6"
"Velocity=6E-06","TOTAL","base","-1016.10","","93","","",""
"Velocity=8E-06","20260209","base","-94.49","-0.94","4","0.00","94.49","5"
"Velocity=8E-06","20260210","base","-10.91","-0.11","8","65.28","40.20","5"
"Velocity=8E-06","20260211","base","142.18","1.42","5","161.03","23.36","5"
"Velocity=8E-06","20260212","base","144.05","1.44","11","160.15","63.42","6"
"Velocity=8E-06","20260213","base","-596.26","-5.96","27","27.00","597.56","6"
"Velocity=8E-06","TOTAL","base","-415.43","","55","","",""
"Velocity=1E-05","20260209","base","-94.49","-0.94","4","0.00","94.49","5"
"Velocity=1E-05","20260210","base","-30.57","-0.31","6","2.19","61.32","7"
"Velocity=1E-05","20260211","base","142.18","1.42","5","161.03","23.36","5"
"Velocity=1E-05","20260212","base","144.05","1.44","11","158.05","63.42","5"
"Velocity=1E-05","20260213","base","-439.36","-4.39","21","27.00","440.69","5"
"Velocity=1E-05","TOTAL","base","-278.19","","47","","",""
"Velocity=1.2E-05","20260209","base","-76.85","-0.77","2","13.05","76.85","5"
"Velocity=1.2E-05","20260210","base","-30.57","-0.31","6","2.19","61.32","7"
"Velocity=1.2E-05","20260211","base","142.18","1.42","5","161.03","23.36","5"
"Velocity=1.2E-05","20260212","base","144.05","1.44","11","160.15","63.42","5"
"Velocity=1.2E-05","20260213","base","-312.49","-3.12","17","27.00","313.83","6"
"Velocity=1.2E-05","TOTAL","base","-133.68","","41","","",""
"Velocity=1.5E-05","20260209","base","-76.85","-0.77","2","13.05","76.85","5"
"Velocity=1.5E-05","20260210","base","-30.57","-0.31","6","3.65","61.32","7"
"Velocity=1.5E-05","20260211","base","142.18","1.42","5","161.03","23.36","5"
"Velocity=1.5E-05","20260212","base","144.05","1.44","11","158.05","63.42","6"
"Velocity=1.5E-05","20260213","base","-300.10","-3.00","13","27.00","301.45","6"
"Velocity=1.5E-05","TOTAL","base","-121.29","","37","","",""
"Chop=0.0006","20260209","base","-187.68","-1.88","8","9.94","187.68","5"
"Chop=0.0006","20260210","base","-195.86","-1.96","19","61.42","194.44","5"
"Chop=0.0006","20260211","base","136.27","1.36","7","155.12","39.42","5"
"Chop=0.0006","20260212","base","153.14","1.53","19","166.94","128.86","5"
"Chop=0.0006","20260213","base","-775.29","-7.75","33","40.12","776.57","5"
"Chop=0.0006","TOTAL","base","-869.42","","86","","",""
"Chop=0.0008","20260209","base","-187.37","-1.87","6","0.00","187.37","6"
"Chop=0.0008","20260210","base","-172.15","-1.72","19","47.57","170.72","5"
"Chop=0.0008","20260211","base","141.10","1.41","7","160.54","54.02","5"
"Chop=0.0008","20260212","base","-171.95","-1.72","39","129.07","171.95","5"
"Chop=0.0008","20260213","base","-670.73","-6.71","29","33.32","672.02","6"
"Chop=0.0008","TOTAL","base","-1061.10","","100","","",""
"Chop=0.0011","20260209","base","-94.49","-0.94","4","0.00","94.49","5"
"Chop=0.0011","20260210","base","-10.91","-0.11","8","65.28","40.20","5"
"Chop=0.0011","20260211","base","142.18","1.42","5","161.03","23.36","5"
"Chop=0.0011","20260212","base","144.05","1.44","11","158.05","63.42","5"
